date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:04	413/413	---MCZ	200	added ('OK')	text/plain	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/robots.txt		(from )
18:38:04	340303/340303	---MC-	200	added ('OK')	text/html	etag:%221ho6p52%22	https://stake.us/?	C:/My%20Web%20Sites/Stake%20clown/stake.us/indexd41d.html	(from )
18:38:04	4120/4120	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Aug%202022%2022:38:39%20GMT	https://use.typekit.net/aba0ebl.css	C:/My%20Web%20Sites/Stake%20clown/use.typekit.net/aba0ebl.css	(from https://stake.us/?)
18:38:04	7546/7546	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/assets/production-apple-touch-icon-0e502544.png	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/assets/production-apple-touch-icon-0e502544.png	(from https://stake.us/?)
18:38:05	288/288	---M--	200	added ('OK')	application/manifest+json	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/favicons/Stake-production-site.webmanifest	C:/My%20Web%20Sites/Stake%20clown/stake.us/favicons/Stake-production-site.webmanifest	(from https://stake.us/?)
18:38:05	383428/383428	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/start-73ea2e86.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/start-73ea2e86.js	(from https://stake.us/?)
18:38:05	340303/340303	---MC-	200	added ('OK')	text/html	etag:%2214omzd1%22	https://stake.us/	C:/My%20Web%20Sites/Stake%20clown/stake.us/index.html	(from https://stake.us/?)
18:38:05	961852/961852	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/vendor-202ba1b8.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/vendor-202ba1b8.js	(from https://stake.us/?)
18:38:05	519/519	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/preload-helper-ec9aa979.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/preload-helper-ec9aa979.js	(from https://stake.us/?)
18:38:06	47/47	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/singletons-4b6b0cdf.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/singletons-4b6b0cdf.js	(from https://stake.us/?)
18:38:06	440171/440171	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/pages/__layout.svelte-93387e0c.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/pages/__layout.svelte-93387e0c.js	(from https://stake.us/?)
18:38:06	905371/905371	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-239f6385.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-239f6385.js	(from https://stake.us/?)
18:38:06	212/212	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/goto-7d4088c3.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/goto-7d4088c3.js	(from https://stake.us/?)
18:38:07	1105/1105	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-818f9b69.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-818f9b69.js	(from https://stake.us/?)
18:38:07	21164/21164	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-eb9dee93.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-eb9dee93.js	(from https://stake.us/?)
18:38:07	698/698	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/RacePosition.generated-d1996233.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/RacePosition.generated-d1996233.js	(from https://stake.us/?)
18:38:07	1414/1414	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/UserTags.generated-5f0e6eb8.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/UserTags.generated-5f0e6eb8.js	(from https://stake.us/?)
18:38:07	8386/8386	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/context-88a045a1.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/context-88a045a1.js	(from https://stake.us/?)
18:38:08	664/664	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/stores-5d02eee0.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/stores-5d02eee0.js	(from https://stake.us/?)
18:38:08	1629/1629	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/types-0152c01c.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/types-0152c01c.js	(from https://stake.us/?)
18:38:08	119/119	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/context-8abb743c.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/context-8abb743c.js	(from https://stake.us/?)
18:38:08	817/817	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/AddIgnoredUser.generated-6faf1df3.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/AddIgnoredUser.generated-6faf1df3.js	(from https://stake.us/?)
18:38:08	823/823	---M--	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/DeleteIgnoredUser.generated-b04ad91c.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/DeleteIgnoredUser.generated-b04ad91c.js	(from https://stake.us/?)
18:38:09	1407/1407	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/_ignoredUserListFetchStore-8ca6e522.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/_ignoredUserListFetchStore-8ca6e522.js	(from https://stake.us/?)
18:38:09	1469/1469	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/makeFetchStore-06397d55.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/makeFetchStore-06397d55.js	(from https://stake.us/?)
18:38:09	1534/1534	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/requestClient-501ba30b.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/requestClient-501ba30b.js	(from https://stake.us/?)
18:38:09	90269/90269	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Aug%202022%2008:08:15%20GMT	https://stake.us/_app/chunks/index-a7a6ffa9.js	C:/My%20Web%20Sites/Stake%20clown/stake.us/_app/chunks/index-a7a6ffa9.js	(from https://stake.us/?)
